,Brand,Model,Previous model,Type,Weight,MSRP,Heel,Toe,Heel drop,Carbon plate,Sizing,Heel fit,Midfoot fit,Toebox fit,Type of cushioning,Amount of cushioning,Stability,Flexibility,Family,Rockplate,Traction,Water resitance,Road-to-trail
Value,Nike,Vomero 17,Air Zoom Vomero 16,Cushioning,10.6 oz (301 g),$160.00,39 mm.,29 mm.,10 mm.,No plate,True to size,Normal,Normal,Normal,Balanced,Highly cushioned,Some stability,Flexible,Vomero,,,,
Value,Asics,Fuji Lite 4,Fuji Lite 3,Trail,9.4 oz (266 g),$130.00,33 mm.,29 mm.,4 mm.,No plate,True to size,Normal,Normal,Wide,Responsive/balanced,Medium cushioning,Some stability,Medium,,Not present,Provide Traction,Adequate,
Value,Nike,Downshifter 12,Downshifter 11,Cushioning,10 oz (283 g),$70.00,mm.,mm.,10 mm.,No plate,Buy half size bigger,Normal,Normal,Tight,Balanced,Medium cushioning,Very stable,Medium,,,,,
Value,Brooks,Cascadia 17,Cascadia 16,Trail,11.3 oz (320 g),$140.00,33 mm.,25 mm.,8 mm.,No plate,True to size,Normal,Normal,Normal,Responsive/balanced,Medium cushioning,Very stable,Rigid,,Solid protection,Provide Traction,Good,
Value,Salomon,Thundercross,,Trail,9.8 oz (278 g),$140.00,31 mm.,27 mm.,4 mm.,No plate,True to size,Normal,Normal,Normal,Responsive/balanced,Medium cushioning,Very stable,Medium,,Average protection,Provide Traction,Adequate,
Value,Brooks,Ghost Max,,Cushioning,10 oz (283 g),$150.00,39 mm.,33 mm.,6 mm.,No plate,True to size,Normal,Normal,Normal,Balanced,Highly cushioned,Very stable,Medium,Ghost,,,,
Value,Hoka One One,HOKA Gaviota 5,Gaviota 4,Road,10.9 oz (309 g),$175.00,999 mm.,999 mm.,6 mm.,No plate,True to size,Normal,Normal,Normal,Balanced/plush,Highly cushioned,Very stable,Medium,,,,,
Value,Asics,Gel-Kinsei Max,,Cushioning,11.7 oz (332 g),$180.00,mm.,mm.,8 mm.,Plate in other materials,Buy half size bigger,Normal,Normal,Tight,Plush,Highly cushioned,Very stable,Flexible,,,,,
Value,ON,Cloudstratus 3,Cloudstratus 2,Cushioning,10.3 oz (292 g),$180.00,37 mm.,31 mm.,6 mm.,Plate in other materials,True to size,Normal,Wide,Wide,Balanced/plush,Highly cushioned,Very stable,Medium,,,,,
Value,Hoka One One,HOKA Cielo Road,,Road,7.1 oz (201 g),$160.00,33 mm.,30 mm.,3 mm.,No plate,True to size,Normal,Normal,Normal,Responsive,Medium cushioning,Not particularly stable,Medium,,,,,
Value,Puma,Voyage Nitro 3,,Trail,9.6 oz (272 g),$140.00,34 mm.,30 mm.,4 mm.,No plate,True to size,Normal,Normal,Tight,Balanced/plush,Highly cushioned,Some stability,Medium,,Not present,Provide Traction,Adequate,
Value,Saucony,Endorphin Pro 4,Endorphin Pro 3,Racing,7.4 oz (210 g),$225.00,39.5 mm.,31.5 mm.,8 mm.,Full length carbon plate,Buy half size bigger,Normal,Normal,Tight,Balanced/plush,Highly cushioned,Some stability,Rigid,Endorphin,,,,
Value,Brooks,Adrenaline GTS 23,Adrenaline GTS 22,Road,10.1 oz (286 g),$140.00,36 mm.,24 mm.,12 mm.,No plate,True to size,Normal,Normal,Normal,Responsive/balanced,Medium cushioning,Very stable,Medium,Adrenaline,,,,
Value,Adidas,Adizero Prime X 2 Strung,Adidas Adizero Prime X Strung,Racing,10.85 oz (308 g),$300.00,50 mm.,43 mm.,7 mm.,Full length carbon plate,True to size,Normal,Normal,Normal,Balanced,Highly cushioned,Not particularly stable,Rigid,,,,,
Value,Nike,Structure 25,Air Zoom Structure 24,Road,11.4 oz (323 g),$130.00,37 mm.,27 mm.,10 mm.,No plate,True to size,Normal,Tight,Normal,Responsive/balanced,Medium cushioning,Very stable,Flexible,Structure,,,,
Value,Mizuno,Wave Sky 7,,Cushioning,10.9 oz (309 g),$170.00,40 mm.,32 mm.,8 mm.,No plate,True to size,Normal,Wide,Wide,Plush,Highly cushioned,Some stability,Medium,,,,,
Value,Brooks,Caldera 6,Caldera 5,Trail,11.1 oz (315 g),$150.00,36 mm.,30 mm.,6 mm.,No plate,True to size,Wide,Wide,Wide,Balanced,Highly cushioned,Very stable,Medium,,Not present,Provide Traction,Adequate,
Value,Brooks,Hyperion GTS,,Road,8.1 oz (230 g),$140.00,27 mm.,19 mm.,8 mm.,No plate,True to size,Normal,Normal,Normal,Responsive,Medium cushioning,Some stability,Rigid,,,,,
Value,Altra,Outroad 2,Outroad,Trail,11 oz (312 g),$140.00,30 mm.,30 mm.,mm.,No plate,Buy half size bigger,Normal,Normal,Wide,Responsive/balanced,Medium cushioning,Some stability,Medium,,Not present,Average Traction,Adequate,
Value,Saucony,Triumph 21,Triumph 20,Cushioning,10 oz (283 g),$160.00,39 mm.,29 mm.,10 mm.,No plate,True to size,Tight,Normal,Wide,Balanced/plush,Highly cushioned,Not particularly stable,Medium,Triumph,,,,
Value,Altra,Superior 6,Superior 4,Trail,10.1 oz (286 g),$130.00,999 mm.,999 mm.,0 mm.,No plate,True to size,Normal,Normal,Normal,Responsive/balanced,Little cushioning,Not particularly stable,Medium,,Not present,Average Traction,Poor,
Value,Saucony,Kinvara Pro,,Lightweight,8.4 oz (238 g),$180.00,42 mm.,34 mm.,8 mm.,Half length  carbon plate,True to size,Normal,Normal,Normal,Balanced,Highly cushioned,Very stable,Rigid,Kinvara,,,,
Value,Adidas,Switch FWD,,Cushioning,11.8 oz (335 g),$140.00,45 mm.,35 mm.,10 mm.,Plate in other materials,True to size,Normal,Wide,Normal,Responsive/balanced,Highly cushioned,Very stable,Medium,,,,,
Value,Brooks,Launch 10,Launch 9,Cushioning,8.3 oz (235 g),$110.00,34 mm.,24 mm.,10 mm.,No plate,True to size,Tight,Normal,Normal,Responsive/balanced,Medium cushioning,Some stability,Flexible,,,,,
Value,Altra,Torin 7,Torin 5,Cushioning,9.87 oz (280 g),$150.00,30 mm.,30 mm.,0 mm.,No plate,True to size,Normal,Normal,Normal,Balanced,Highly cushioned,Not particularly stable,Medium,,,,,
Value,Asics,Noosa Tri 15,Noosa Tri 14,Lightweight,8 oz (227 g),$130.00,mm.,mm.,5 mm.,No plate,True to size,Normal,Normal,Normal,Responsive/balanced,Medium cushioning,Very stable,Medium,,,,,
Value,Brooks,Launch GTS 10,Launch GTS 9,Road,8.3 oz (235 g),$110.00,34 mm.,24 mm.,10 mm.,No plate,True to size,Tight,Normal,Tight,Responsive/balanced,Medium cushioning,Some stability,Medium,,,,,
Value,New Balance,FuelCell SuperComp Trainer v2,FuelCell Supercomp Trainer,Cushioning,9.7 oz (275 g),$180.00,40 mm.,34 mm.,6 mm.,Full length carbon plate,True to size,Normal,Normal,Normal,Balanced/plush,Highly cushioned,Very stable,Medium,,,,,
Value,Asics,Gel Kayano 30,Gel Kayano 29,Road,10.7 oz (303 g),$160.00,40 mm.,30 mm.,10 mm.,No plate,True to size,Normal,Tight,Normal,Balanced/plush,Highly cushioned,Very stable,Medium,Gel Kayano,,,,
Value,Brooks,Hyperion Max,,Cushioning,7.5 oz (213 g),$170.00,34 mm.,26 mm.,8 mm.,No plate,True to size,Normal,Normal,Normal,Responsive/balanced,Medium cushioning,Some stability,Rigid,,,,,
Value,Skechers,GOrun Ride 11,GOrun Ride 9,Cushioning,10 oz (283 g),$120.00,38 mm.,32 mm.,6 mm.,Half length  carbon plate,True to size,Normal,Normal,Normal,Balanced/plush,Highly cushioned,Very stable,Medium,,,,,
Value,Nike,Infinity RN4,,Cushioning,11.2 oz (318 g),$160.00,mm.,mm.,mm.,No plate,True to size,Normal,Normal,Normal,Responsive/balanced,Highly cushioned,Very stable,Flexible,,,,,
Value,ON,Cloudvista,,Trail,9.9 oz (281 g),$150.00,33 mm.,24 mm.,9 mm.,Plate in other materials,Buy half size bigger,Normal,Tight,Tight,Balanced,Little cushioning,Some stability,Medium,,Average protection,Average Traction,Poor,
Value,New Balance,Fresh Foam X Hierro v7,Fresh Foam Hierro v5,Trail,10 oz (283 g),$140.00,36 mm.,28 mm.,8 mm.,No plate,True to size,Normal,Normal,Normal,Balanced,Medium cushioning,Very stable,Medium,,Not present,Average Traction,Adequate,
Value,Brooks,Catamount 2,Catamount,Trail,9.7 oz (275 g),$170.00,30 mm.,24 mm.,6 mm.,Plate in other materials,True to size,Tight,Normal,Tight,Responsive/balanced,Medium cushioning,Very stable,Medium,,Solid protection,Average Traction,Adequate,
Value,Hoka One One,Mach X,,Cushioning,9.4 oz (266 g),$180.00,mm.,mm.,5 mm.,Plate in other materials,Buy half size bigger,Normal,Normal,Tight,Balanced,Highly cushioned,Very stable,Medium,,,,,
Value,ON,Cloudboom Echo 3,,Racing,7.6 oz (215 g),$289.00,37 mm.,28 mm.,9 mm.,Full length carbon plate,True to size,Normal,Normal,Normal,Responsive,Medium cushioning,Some stability,Rigid,,,,,
Value,ON,Cloudswift 3,ON Cloudswift,Cushioning,10.2 oz (289 g),$160.00,33 mm.,28 mm.,5 mm.,Plate in other materials,Buy half size bigger,Normal,Normal,Normal,Responsive/balanced,Medium cushioning,Some stability,Medium,,,,,
Value,Adidas,adizero Adios 8,adizero Adios 7,Lightweight,7.4 oz (210 g),$130.00,28 mm.,20 mm.,8 mm.,No plate,True to size,Normal,Normal,Normal,Responsive,Medium cushioning,Some stability,Medium,,,,,
Value,Saucony,Axon 3,Axon 2,Cushioning,8.5 oz (241 g),$90.00,mm.,mm.,4 mm.,No plate,True to size,Tight,Normal,Normal,Balanced,Highly cushioned,Not particularly stable,Medium,,,,,
Value,Asics,ASICS GT 1000 12,GT-1000 11,Road,9.5 oz (269 g),$100.00,30 mm.,22 mm.,8 mm.,No plate,True to size,Normal,Tight,Normal,Balanced,Medium cushioning,Very stable,Medium,,,,,
Value,Mizuno,Wave Rider 27,Wave Rider 26,Cushioning,9.9 oz (281 g),$140.00,mm.,mm.,12 mm.,No plate,True to size,Normal,Normal,Normal,Responsive/balanced,Medium cushioning,Some stability,Rigid,,,,,
Value,Asics,S4,,Racing,8.5 oz (241 g),$150.00,34 mm.,28 mm.,6 mm.,Full length carbon plate,Buy half size bigger,Normal,Tight,Normal,Responsive/balanced,Highly cushioned,Very stable,Rigid,,,,,
Value,Puma,ForeverRun Nitro,,Road,9.6 oz (272 g),$150.00,36 mm.,26 mm.,10 mm.,No plate,True to size,Tight,Normal,Tight,Balanced/plush,Highly cushioned,Some stability,Medium,,,,,
Value,Adidas,Duramo 10,Duramo 9,Cushioning,9 oz (255 g),$70.00,32 mm.,23 mm.,9 mm.,No plate,True to size,Normal,Normal,Normal,Responsive,Medium cushioning,Some stability,Flexible,,,,,
Value,Skechers,GOrun Max Road 6,,Cushioning,11 oz (312 g),$130.00,40 mm.,34 mm.,6 mm.,Half length  carbon plate,True to size,Normal,Normal,Normal,Balanced,Highly cushioned,Very stable,Medium,,,,,
