Brand,Model,Previous model,Type,Weight,MSRP,Heel,Toe,Heel drop,Carbon plate,Sizing,Heel fit,Midfoot fit,Toebox fit,Type of cushioning,Amount of cushioning,Stability,Flexibility,Family,Rockplate,Traction,Water resitance
New Balance,Fresh Foam X Vongo v6,Fresh Foam Vongo v5,Road,10.5 oz (298 g),$165.00,35.5 mm.,29.5 mm.,6 mm.,Plate in other materials,Buy half size bigger,Normal,Normal,Tight,Balanced,Highly cushioned,Very stable,Medium,,,,
Altra,Provision 8,Provision 7,Road,10.2 oz (289 g),$140.00,28 mm.,28 mm.,0 mm.,No plate,True to size,Normal,Tight,Wide,Balanced/plush,Medium cushioning,Some stability,Flexible,,,,
Adidas,Adidas Adizero Takumi Sen 10,adizero Takumi Sen 9,Racing,7 oz (198 g),$180.00,33 mm.,27 mm.,6 mm.,Plate in other materials,True to size,Normal,Tight,Normal,Responsive/balanced,Medium cushioning,Not particularly stable,Medium,,,,
Brooks,Glycerin 21,Glycerin 19,Cushioning,10 oz (283 g),$160.00,38 mm.,28 mm.,10 mm.,No plate,True to size,Normal,Tight,Normal,Balanced,Highly cushioned,Very stable,Flexible,Glycerin,,,
Under Armour,HOVR Machina 3 Clone,,Cushioning,11.7 oz (332 g),$150.00,33 mm.,25 mm.,8 mm.,No plate,True to size,Normal,Normal,Normal,Balanced,Medium cushioning,Some stability,Medium,,,,
Under Armour,HOVR Mega 3,,Cushioning,11.5 oz (326 g),$140.00,,,8 mm.,No plate,Buy half size bigger,Normal,Normal,Normal,Balanced,Highly cushioned,Very stable,Rigid,,,,
Altra,VIA Olympus 2,,Cushioning,11.4 oz (323 g),$165.00,33 mm.,33 mm.,mm.,No plate,True to size,Normal,Wide,Wide,Balanced,Highly cushioned,Some stability,Medium,,,,
Asics,Asics Gel-Pulse 14,,Cushioning,10.5 oz (298 g),$100.00,,,10 mm.,No plate,True to size,Normal,Normal,Normal,Balanced,Medium cushioning,Not particularly stable,Flexible,,,,
Adidas,Supernova Rise,,Cushioning,9.8 oz (278 g),$140.00,36 mm.,26 mm.,10 mm.,No plate,Buy half size bigger,Normal,Normal,Tight,Balanced/plush,Medium cushioning,Very stable,Medium,,,,
Under Armour,Charged Assert 10,Charged Assert 9,Cushioning,9.5 oz (269 g),$75.00,32 mm.,22 mm.,10 mm.,No plate,True to size,Normal,Normal,Wide,Responsive,Little cushioning,Very stable,Rigid,,,,
Under Armour,Velociti 3,,Lightweight,8.8 oz (249 g),$130.00,,,8 mm.,No plate,Buy half size bigger,Normal,Normal,Tight,Responsive/balanced,Medium cushioning,Some stability,Medium,,,,
Altra,Olympus 5,Olympus 4.0,Trail,10.8 oz (306 g),$128.00,36 mm.,36 mm.,mm.,No plate,True to size,Normal,Normal,Wide,Balanced,Highly cushioned,Not particularly stable,Rigid,,Not present,Provide Traction,Poor
Under Armour,HOVR Turbulence 2,,Cushioning,9.8 oz (278 g),$100.00,,,8 mm.,No plate,True to size,Normal,Normal,Normal,Responsive/balanced,Medium cushioning,Very stable,Medium,,,,
Asics,Novablast 4,Novablast 3,Cushioning,9 oz (255 g),$140.00,42 mm.,34 mm.,8 mm.,No plate,True to size,Normal,Normal,Normal,Responsive,Highly cushioned,Very stable,Medium,,,,
ON,Cloudeclipse,,Cushioning,10.1 oz (286 g),$180.00,37 mm.,31 mm.,6 mm.,No plate,True to size,Normal,Normal,Wide,Balanced,Highly cushioned,Some stability,Medium,,,,
Nike,Ultrafly Trail,,Trail,10.1 oz (286 g),$250.00,38 mm.,29.5 mm.,8.5 mm.,Full length carbon plate,True to size,Normal,Tight,Wide,Responsive,Medium cushioning,Some stability,Rigid,,Solid protection,Provide Traction,Poor
Saucony,Endorphin Speed 4,Endorphin Speed 3,Lightweight,8 oz (227 g),$170.00,37 mm.,29 mm.,8 mm.,Plate in other materials,True to size,Normal,Normal,Normal,Responsive/balanced,Medium cushioning,Some stability,Medium,Endorphin,,,
Altra,FWD Experience,,Cushioning,8.5 oz (241 g),$140.00,32 mm.,28 mm.,4 mm.,No plate,True to size,Normal,Normal,Normal,Balanced,Medium cushioning,Not particularly stable,Medium,,,,
New Balance,Fresh Foam X 1080 v13,Fresh Foam X 1080 v12,Cushioning,9.2 oz (261 g),$165.00,37 mm.,31 mm.,6 mm.,No plate,True to size,Normal,Normal,Normal,Plush,Highly cushioned,Not particularly stable,Medium,1080,,,
